Threshold equalization distributions
Type: THL with noise edge
From: 338
To: 559
Step: 1
Chip 0
Adj. bits 0	Adj. bits 15	Adj. equalized
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         1	         0
         0	         5	         0
         1	         0	         0
         0	         8	         0
         0	         4	         0
         0	         7	         0
         0	        14	         0
         0	        17	         0
         0	        29	         0
         0	        39	         0
         0	        44	         0
         0	        73	         0
         0	       111	         0
         0	       118	         0
         0	       140	         0
         0	       187	         0
         0	       271	         0
         0	       306	         0
         0	       351	         0
         0	       420	         0
         0	       576	         0
         0	       681	         0
         0	       823	         0
         0	       898	         0
         0	      1208	         0
         0	      1238	         0
         0	      1589	         0
         0	      1687	         0
         0	      1886	         0
         0	      2003	         0
         0	      2337	         0
         0	      2336	         0
         0	      2429	         0
         0	      2802	         0
         0	      2913	         0
         0	      2770	         0
         0	      2838	         0
         0	      2790	         0
         0	      2756	         0
         0	      2849	         1
         0	      2664	         0
         0	      2673	         0
         0	      2343	         0
         0	      2246	         0
         0	      2084	         0
         0	      1737	         0
         0	      1508	         1
         0	      1423	         0
         0	      1246	         0
         0	      1217	         0
         0	      1020	         0
         0	       754	         0
         0	       704	         0
         0	       548	         0
         0	       413	         1
         0	       317	         0
         0	       291	         0
         0	       197	         0
         0	       144	         0
         0	       124	         0
         0	        86	         0
         0	        84	         0
         0	        36	         0
         0	        44	         0
         0	        25	         0
         0	        22	         1
         0	        14	         1
         0	         8	         2
         0	         2	        12
         0	         0	        59
         0	         1	       177
         0	         2	       593
         0	         1	      1735
         0	         1	      4256
         0	         0	      7436
         0	         1	      9937
         0	         0	     11075
         0	         0	     10982
         0	         0	      9277
         0	         0	      5843
         0	         0	      3004
         0	         0	       905
         0	         0	       203
         2	         0	        32
         4	         0	         1
         4	         0	         0
         2	         0	         0
         9	         0	         0
         5	         0	         0
        19	         0	         0
        26	         0	         0
        45	         0	         0
        50	         0	         0
        54	         0	         0
        81	         0	         0
        92	         0	         0
       147	         0	         0
       214	         0	         0
       189	         0	         0
       257	         0	         0
       333	         0	         0
       409	         0	         0
       477	         0	         0
       624	         0	         0
       719	         0	         0
       916	         0	         0
       999	         0	         0
      1225	         0	         0
      1393	         0	         0
      1598	         0	         0
      1873	         0	         0
      1931	         0	         0
      2179	         0	         0
      2503	         0	         0
      2369	         0	         0
      2750	         0	         0
      2636	         0	         0
      2855	         0	         0
      2914	         0	         0
      2913	         0	         0
      2781	         0	         0
      2820	         0	         0
      2661	         0	         0
      2718	         0	         0
      2525	         0	         0
      2180	         0	         0
      2104	         0	         0
      1983	         0	         0
      1653	         0	         0
      1509	         0	         0
      1332	         0	         0
      1120	         0	         0
      1020	         0	         0
       877	         0	         0
       715	         0	         0
       627	         0	         0
       498	         0	         0
       359	         0	         0
       287	         0	         0
       240	         0	         0
       175	         0	         0
       134	         0	         0
       114	         0	         0
        77	         0	         0
        58	         0	         0
        50	         0	         0
        34	         0	         0
        27	         0	         0
        15	         0	         0
        10	         0	         0
         3	         0	         0
         4	         0	         0
         1	         0	         0
         2	         0	         0
         1	         0	         0
         1	         0	         0
         1	         0	         0
         1	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
