Threshold equalization distributions
Type: THL with noise edge
From: 225
To: 443
Step: 2
Chip 0
Adj. bits 0	Adj. bits 15	Adj. equalized
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         1	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         8	         0
         0	         8	         0
         0	        26	         0
         0	        56	         0
         0	        88	         0
         0	       184	         0
         0	       292	         0
         0	       501	         0
         0	       762	         0
         0	      1249	         0
         0	      1746	         0
         0	      2607	         0
         0	      3313	         0
         0	      4173	         0
         0	      4727	         0
         0	      5612	         0
         0	      5758	         0
         0	      5943	         0
         0	      5592	         0
         0	      5188	         0
         0	      4779	         0
         0	      3826	         0
         0	      3008	         0
         0	      2250	         0
         0	      1528	         0
         0	       890	         0
         0	       637	         0
         1	       404	         0
         0	       179	         0
         0	       104	         2
         0	        47	         4
         0	        26	        70
         0	        18	       580
         0	         1	      4964
         0	         4	     15157
         0	         0	     23705
         4	         0	     16158
         3	         0	      4539
        15	         0	       342
        24	         0	        14
        43	         0	         0
        99	         0	         0
       177	         0	         0
       292	         0	         0
       531	         0	         0
       959	         0	         0
      1328	         0	         0
      2117	         0	         0
      2603	         0	         0
      3632	         0	         0
      4065	         0	         0
      4860	         0	         0
      5672	         0	         0
      6289	         0	         0
      6102	         0	         0
      5529	         0	         0
      5247	         0	         0
      4287	         0	         0
      3652	         0	         0
      2646	         0	         0
      1970	         0	         0
      1324	         0	         0
       861	         0	         0
       558	         0	         0
       302	         0	         0
       171	         0	         0
        76	         0	         0
        52	         0	         0
        24	         0	         0
        11	         0	         0
         6	         0	         0
         3	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
